Name,Brand,Color,Fuel,Gearbox,Year,Km,Fuel_consumption,Co2_emission,Doors,Price
Fiat 500,Fiat,Tech House Grey,Essence,Manuelle,2018,28150,4.9,115,3,10 999
Citroën C4 Picasso,Citroën,Gris Aluminium,Essence,Manuelle,2015,102511,5.1,116,5,10 299
Citroën C4 Cactus,Citroën,GRIGIO,Diesel,Manuelle,2019,122316,3.5,92,5,12 399
Ford KA,Ford,Bleu Caraïbes,Essence,Manuelle,2015,103265,4.9,115,3,7 599
Fiat Tipo,Fiat,Bleu Méditerranée,Essence,Manuelle,2017,85152,5.7,132,4,9 699
Citroën C3 Picasso,Citroën,Karma,Essence,Manuelle,2017,113165,5,115,5,7 999
Peugeot 108,Peugeot,Blanc Lipizan,Essence,Manuelle,2020,18208,4.8,110,5,10 499
Citroën C1,Citroën,Rouge Scarlet,Essence,Manuelle,2019,66670,4.1,93,5,9 299
Mercedes Classe A,Mercedes,Noir,Essence,Manuelle,2014,133745,5.7,131,5,14 499
Ford Fiesta,Ford,Gris Lunaire,Diesel,Manuelle,2016,65835,3.6,82,5,10 999
Ford Fiesta,Ford,,Essence,Manuelle,2018,106619,,,,11 199
Ford Focus,Ford,Caribou,Essence,Manuelle,2017,120200,4.7,108,5,10 499
Smart FORTWO,Smart,Rouge Red,Essence,Manuelle,2015,60792,4.5,104,3,8 999
Fiat Panda,Fiat,Bleu,Essence,Manuelle,2019,60921,5.4,130,5,9 599
Toyota Yaris,Toyota,Gris Aluminium,Essence,Manuelle,2016,66080,4.9,114,5,12 499
Ford Ecosport,Ford,Blanc Diamant,Essence,Manuelle,2015,113907,5.4,125,5,10 299
Suzuki Swift,Suzuki,Boost Blue Pearl,Essence,Manuelle,2017,72583,5,116,3,9 999
Dacia Lodgy,Dacia,Blanc,Essence,Manuelle,2016,95249,5.5,124,5,11 699
Toyota Yaris,Toyota,,Essence,Manuelle,2020,26989,,,,14 499
DS DS3,DS,Gris Aluminium/Noir Onyx,Essence,Manuelle,2017,86055,4,107,3,10 799
Volkswagen Tiguan,Volkswagen,Noir Intense,Diesel,Manuelle,2015,107324,5,138,5,14 999
Hyundai i20,Hyundai,Blanc,Essence,Manuelle,2017,105250,4.8,119,5,10 699
Opel Crossland X,Opel,Gris,Essence,Manuelle,2019,36544,5.1,105,5,13 399
Skoda Fabia,Skoda,Noir,Essence,Manuelle,2020,57805,4.9,110,5,10 999
Dacia SPRING,Dacia,Gris Diamond,Electrique,Automatique,2021,55500,0.0,0,5,11 299
Opel Astra,Opel,Bleu Astral,Essence,Manuelle,2015,86635,5.5,135,5,9 999
Seat Leon,Seat,Noir Minuit,Essence,Automatique,2016,138549,5,115,5,13 199
